Местное время в Екатеринбурге;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;;;;;;
30.12.2023 08:00;-13,5;721,0;748,0;0,5;77;Ветер, дующий с запада;6;11;14;20–30%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Песчаная или пыльная буря или снежная низовая метель.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-13,5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;-16,7;;;;;;
30.12.2023 05:00;-12,6;720,5;747,4;1,0;77;Ветер, дующий с запада;6;11;15;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;-15,8;;;;;;
30.12.2023 02:00;-12,6;719,5;746,4;1,2;76;Ветер, дующий с запада;7;15;15;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;-16,0;;;;;;
29.12.2023 23:00;-11,3;718,3;745,0;0,7;77;Ветер, дующий с запада;6;;14;90  или более, но не 100%;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;-14,6;;;;;;
29.12.2023 20:00;-11,9;717,6;744,3;0,6;79;Ветер, дующий с запада;5;11;12;90  или более, но не 100%;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-11,4;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;-14,9;;;;;;
29.12.2023 17:00;-12,3;717,0;743,7;0,6;79;Ветер, дующий с западо-северо-запада;4;10;11;20–30%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;-15,3;;;;;;
29.12.2023 14:00;-11,5;716,4;743,0;0,3;75;Ветер, дующий с западо-северо-запада;5;10;12;70 – 80%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20,0;-15,1;;;;;;
29.12.2023 11:00;-13,3;716,1;742,9;-0,1;85;Ветер, дующий с западо-северо-запада;6;11;11;20–30%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-13,5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20,0;-15,3;;;;;;
29.12.2023 08:00;-11,8;716,2;742,9;-0,7;86;Ветер, дующий с северо-запада;4;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Снег или дождь со снегом.;-11,8;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;50%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;4,0;-13,7;;;;;;
29.12.2023 05:00;-10,4;716,9;743,5;-0,1;89;Ветер, дующий с северо-запада;4;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Ливень (ливни).;Снег или дождь со снегом.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4,0;-11,9;;;;;;
